title,price,location,room,bath,size,type,purpose,updated,link
"18000 Sq Fq Commercial Buildings For Rent At Ashkona, Dakshin Khan",2.88 Lakh,"Ashkona, Dakshin Khan, Dhaka",,,"18,000 sqft",Building,For Rent,7 September 2021,https://www.bproperty.com//en/property/details-5337266.html
9200 Sq Ft Quality Commercial Building For Rent In Nikunja 1,5.5 Lakh,"Nikunja 1, Nikunja, Dhaka",,,"9,200 sqft",Building,For Rent,9 August 2023,https://www.bproperty.com//en/property/details-4825950.html
"50000 Square Feet Commercial Building Is Available For Rent In Genda, Savar",25 Lakh,"Savar, Dhaka",,,"50,000 sqft",Building,For Rent,22 February 2023,https://www.bproperty.com//en/property/details-5554548.html
See This Commercial Building For Rent Located In Gulshan 2 Near To Z H Sikder Women's Medical College & Hospital,8 Lakh,"Gulshan 2, Gulshan, Dhaka",,,"8,000 sqft",Building,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1976704.html
"13500 Sq Ft Full Commercial Building Is Ready For Rent In Aftab Nagar, Block F",3 Lakh,"Sector 2, Block F, Aftab Nagar, Dhaka",,,"13,500 sqft",Building,For Rent,1 August 2023,https://www.bproperty.com//en/property/details-5419143.html
A 16000 Sq Ft Commercial Building Is Available For Rent Which Is Located In Baridhara,12 Lakh,"Block J, Baridhara, Dhaka",,,"16,000 sqft",Building,For Rent,28 July 2022,https://www.bproperty.com//en/property/details-5293216.html
"We Are Presenting This 15,500 Sq Ft Commercial Building For Rent Which Is Located In West Kazipara, Mirpur",7 Lakh,"West Kazipara, Mirpur, Dhaka",,,"15,500 sqft",Building,For Rent,5 September 2023,https://www.bproperty.com//en/property/details-5596576.html
View This 11000 Sq Ft Commercial Building For Rent Uttara-12,4 Lakh,"Sector 12, Uttara, Dhaka",,,"11,000 sqft",Building,For Rent,14 August 2023,https://www.bproperty.com//en/property/details-3043400.html
Commercial Building Of 13200 Sq Ft Is Up For Rent At Middle Badda,3.96 Lakh,"Badda, Dhaka",,,"13,200 sqft",Building,For Rent,14 January 2021,https://www.bproperty.com//en/property/details-5053570.html
Take This 49000 Sq Ft Full Building For Commercial Purpose In Tejgaon,73.5 Lakh,"Tejgaon, Dhaka",,,"49,000 sqft",Building,For Rent,12 June 2022,https://www.bproperty.com//en/property/details-5497664.html
6000 Sq Ft Full Commercial Building For Rent In Gulshan 2,15 Lakh,"Gulshan 2, Gulshan, Dhaka",,,"6,000 sqft",Building,For Rent,9 February 2023,https://www.bproperty.com//en/property/details-1879883.html
Checkout This Great 103142 Square Feet Full Commercial Building For Rent In Gulshan 1,1.63 Crore,"Gulshan 1, Gulshan, Dhaka",,,"103,142 sqft",Building,For Rent,10 August 2023,https://www.bproperty.com//en/property/details-5594130.html
See This Commercial Building For Rent Located In Uttara Near To Cardio Care Specialized & General Hospital.,17 Lakh,"Sector 12, Uttara, Dhaka",,,"14,000 sqft",Building,For Rent,26 December 2022,https://www.bproperty.com//en/property/details-1963726.html
"16000 Sq Ft Commercial Building Is Up For Rent In Lalmatia, Block C",9 Lakh,"Lalmatia, Dhaka",,,"16,000 sqft",Building,For Rent,22 August 2023,https://www.bproperty.com//en/property/details-4320573.html
3800 Sq Ft Commercial Building For Rent In East Ahmed Nagar,2 Lakh,"East Ahmed Nagar, Ahmed Nagar, Mirpur, Dhaka",,,"3,800 sqft",Building,For Rent,23 June 2020,https://www.bproperty.com//en/property/details-2022237.html
"24200 Sq Ft Full Commercial Building Is Set To Rent In West Kazipara, Mirpur",7.26 Lakh,"West Kazipara, Mirpur, Dhaka",,,"24,200 sqft",Building,For Rent,31 August 2022,https://www.bproperty.com//en/property/details-5512903.html
"This Commercial Full Building Is Up For Rent In Uttara Sector 6, Near Uttara High School And College",53.04 Lakh,"Sector 6, Uttara, Dhaka",,,"35,357 sqft",Building,For Rent,25 May 2023,https://www.bproperty.com//en/property/details-1726612.html
"Best Location For Your Office, This 17,500 Sq Ft Commercial Full Building Is Ready To Rent At Block J, Baridhara",7 Lakh,"Block J, Baridhara, Dhaka",,,"17,500 sqft",Building,For Rent,23 May 2023,https://www.bproperty.com//en/property/details-4862674.html
"Get A Look At This Lovely Commercial Full Building For Rent Featuring 13,200 Sq Ft In Sector 9, Uttara",4.2 Lakh,"Sector 9, Uttara, Dhaka",,,"13,200 sqft",Building,For Rent,2 May 2023,https://www.bproperty.com//en/property/details-5571982.html
"At Mirpur, 7800 Sq Ft Well Fitted Commercial Building For Rent",2.5 Lakh,"Block A, Section 10, Mirpur, Dhaka",,,"7,800 sqft",Building,For Rent,20 December 2022,https://www.bproperty.com//en/property/details-3380418.html
"This 16000 Sq Ft Commercial Full Building Will Be A Great Option For You To Boost Up Your Business At Block J, Banasree",4 Lakh,"Block J, Banasree, Dhaka",,,"16,000 sqft",Building,For Rent,2 May 2023,https://www.bproperty.com//en/property/details-5571689.html
Take A Look At This 20000 Sq Ft Full Building For Commercial Purpose To Rent In Uttara,6 Lakh,"Sector 10, Uttara, Dhaka",,,"20,000 sqft",Building,For Rent,15 June 2023,https://www.bproperty.com//en/property/details-5520249.html
"22,000 Square Feet Commercial Building Is For Rent In Aftab Nagar Close To Ewu",6.5 Lakh,"Block A, Aftab Nagar, Dhaka",,,"22,000 sqft",Building,For Rent,8 January 2022,https://www.bproperty.com//en/property/details-1909541.html
A Commercial Building Is Available For Rent In West Shewrapara Nearby Green University of Bangladesh.,3.2 Lakh,"West Shewrapara, Mirpur, Dhaka",,,"9,200 sqft",Building,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1963437.html
18000 Sq Ft Commercial Building Is For Rent In Uttara,5 Lakh,"Sector 4, Uttara, Dhaka",,,"18,000 sqft",Building,For Rent,22 November 2022,https://www.bproperty.com//en/property/details-1880939.html
Set Up Your New Commercial Space In The Location Of Mohammadpur Nearby Masajid e Tayabeya For Rent.,4 Lakh,"Mohammadpur, Dhaka",,,"14,800 sqft",Building,For Rent,26 December 2021,https://www.bproperty.com//en/property/details-2009340.html
