title,price,location,room,bath,size,type,purpose,updated,link
2800 Sq Ft Duplex Office Space Is Up For Rent In Baridhara Dohs,90 Thousand,"Baridhara DOHS, Dhaka",,,"2,800 sqft",Duplex,For Rent,21 August 2022,https://www.bproperty.com//en/property/details-5210513.html
5600 Sq Ft Duplex Commercial Building For Rent In 9 No. North Pahartali Ward,2.5 Lakh,"West Khulshi R/A, 9 No. North Pahartali Ward, Chattogram",,,"5,600 sqft",Duplex,For Rent,1 June 2023,https://www.bproperty.com//en/property/details-4702832.html
Spacious Duplex Commercial Office Of 3200 Sq Ft Is Waiting For Rent In Nikunja 2,1.4 Lakh,"Nikunja 2, Nikunja, Dhaka",,,"3,200 sqft",Duplex,For Rent,9 April 2023,https://www.bproperty.com//en/property/details-1914907.html
"We Are Presenting This 2600 Sq Ft Commercial Duplex Office For Rent Which Is Located In Section 12, Mirpur",1.15 Lakh,"Block E, Section 12, Mirpur, Dhaka",,,"2,600 sqft",Duplex,For Rent,14 May 2023,https://www.bproperty.com//en/property/details-5572073.html
"Wonderful Commercial Duplex Space Of 4500 Sq Ft Is Available For Rent In Sector 7, Uttara",5 Lakh,"Sector 7, Uttara, Dhaka",,,"4,500 sqft",Duplex,For Rent,4 June 2023,https://www.bproperty.com//en/property/details-3462891.html
"Near Police Station, A 4500 Sq Ft Commercial Duplex For Rent In Uttara Sector 7.",2.35 Lakh,"Sector 7, Uttara, Dhaka",,,"4,500 sqft",Duplex,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1671189.html
A Duplex Commercial Space Is Available For Rent Which Is Located In Pahartali Nearby Saraipara City Corporation High School,4 Lakh,"12 No. Sarai Para Ward, Double Mooring, Chattogram",,,"16,000 sqft",Duplex,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1977252.html
3000 SQ FT Commercial Duplex For Rent In Uttara,4.98 Lakh,"Sector 4, Uttara, Dhaka",,,"3,000 sqft",Duplex,For Rent,9 November 2022,https://www.bproperty.com//en/property/details-5520264.html
"Remarkable Commercial Duplex Office Of 6500 Sq Ft Is Available For Rent In Sector 15, Uttara",3 Lakh,"Uttara, Dhaka",,,"6,500 sqft",Duplex,For Rent,29 May 2023,https://www.bproperty.com//en/property/details-5576751.html
A Commercial Duplex Is Available For Rent In Dhanmondi Nearby Jamuna Bank Limited,6 Lakh,"Dhanmondi, Dhaka",,,"6,000 sqft",Duplex,For Rent,14 September 2020,https://www.bproperty.com//en/property/details-2062017.html
This Duplex Office Is Up For Rent At Malibagh Near Janata Bank Limited,1.68 Lakh,"Malibagh, Dhaka",,,"4,200 sqft",Duplex,For Rent,20 November 2022,https://www.bproperty.com//en/property/details-1987081.html
"Smart Office Space Of 4200 Sq Ft With Smart Service Package Is Now Up For Rent At Section 10, Mirpur",1.2 Lakh,"Block A, Section 10, Mirpur, Dhaka",,,"4,200 sqft",Duplex,For Rent,22 July 2023,https://www.bproperty.com//en/property/details-5590056.html
