title,price,location,room,bath,size,type,purpose,updated,link
10 Katha Plot Is Available For Lease In Uttara-16,2 Lakh,"Uttara, Dhaka",,,10 Katha,Plot,For Rent,8 January 2023,https://www.bproperty.com//en/property/details-5545799.html
29.16 Katha Commercial Plot Is Available For Lease At Bayazid Bostami Road,7.35 Lakh,"Bayazid, Chattogram",,,29.17 Katha,Plot,For Rent,16 August 2021,https://www.bproperty.com//en/property/details-5213260.html
4.5 Katha Commercial Plot Is Ready To Be Leased In Uttar Badda,2 Lakh,"Uttar Badda, Badda, Dhaka",,,4.5 Katha,Plot,For Rent,18 May 2023,https://www.bproperty.com//en/property/details-5573624.html
Visit This Is 13.9 Katha Commercial Plot Ready To Be Leased At Bayazid Bostami Road,2.5 Lakh,"Bayazid, Chattogram",,,13.89 Katha,Plot,For Rent,25 June 2023,https://www.bproperty.com//en/property/details-5484354.html
"A 240 Katha Commercial Plot With Building Is Available For Rent Which Is Located In Bahir Signal, 4 No Chandgaon Ward",17.28 Lakh,"4 No Chandgaon Ward, Chattogram",,,240 Katha,Plot,For Rent,26 October 2021,https://www.bproperty.com//en/property/details-5376139.html
"31 Katha Commercial Plot Is Ready To Be Leased In Uttar Badda, Satarkul",1.88 Lakh,"Uttar Badda, Badda, Dhaka",,,30.67 Katha,Plot,For Rent,4 April 2023,https://www.bproperty.com//en/property/details-5565458.html
3.47 Katha Plot Is Now Available For Lease In Kuril,50 Thousand,"Kuril, Dhaka",,,3.47 Katha,Plot,For Rent,13 March 2023,https://www.bproperty.com//en/property/details-5527229.html
Attention Plot Finders! A 3.5 Katha Commercial Plot Is Up For Lease In Kawlar Close To Kawlar Bazar Jame Masjid .,55 Thousand,"Kawlar, Dakshin Khan, Dhaka",,,3.5 Katha,Plot,For Rent,24 November 2020,https://www.bproperty.com//en/property/details-4966061.html
"32 Katha Plot Is Up For Rent In Savar, Ashulia",1.5 Lakh,"Ashulia, Savar, Dhaka",,,32 Katha,Plot,For Rent,8 June 2021,https://www.bproperty.com//en/property/details-5271438.html
5 Katha Plot is now available for lease in Ashulia,25 Thousand,"Savar, Dhaka",,,5 Katha,Plot,For Rent,16 June 2022,https://www.bproperty.com//en/property/details-5260694.html
Acquire This 11.9 Sq. Ft Plot Which Is Up For Lease In Kunjachaya Residential Area-Bayazid,3 Lakh,"Kunjachaya Residential Area, Bayazid, Chattogram",,,11.94 Katha,Plot,For Rent,18 December 2021,https://www.bproperty.com//en/property/details-5425083.html
7 Katha Commercial Plot Is Ready To Be Leased In 4 No Chandgaon Ward,20 Thousand,"4 No Chandgaon Ward, Chattogram",,,7 Katha,Plot,For Rent,15 February 2022,https://www.bproperty.com//en/property/details-5438949.html
Grab This 3000 SQ FT Commercial Plot Which Is Available For Rent In East Madarbari,2 Lakh,"30 No. East Madarbari Ward, Chattogram",,,4.17 Katha,Plot,For Rent,27 December 2020,https://www.bproperty.com//en/property/details-5018022.html
Plot Of 13068 Sq. Ft is For lease In Foys Lake,2 Lakh,"9 No. North Pahartali Ward, Chattogram",,,18.15 Katha,Plot,For Rent,30 July 2020,https://www.bproperty.com//en/property/details-2040154.html
"3.5 Katha Commercial Plot Is Up For Leasing Purposes In Banasree, Block J",30 Thousand,"Block J, Banasree, Dhaka",,,3.5 Katha,Plot,For Rent,9 March 2023,https://www.bproperty.com//en/property/details-5519752.html
22 Katha plot is now for lease in Narayanganj,7.5 Lakh,"Narayanganj, Narayanganj City",,,22 Katha,Plot,For Rent,4 June 2022,https://www.bproperty.com//en/property/details-4993216.html
33 Katha Commercial Plot Is Up For Lease At Savar,1.5 Lakh,"Sree Khondia, Ashulia, Savar, Dhaka",,,33 Katha,Plot,For Rent,16 August 2022,https://www.bproperty.com//en/property/details-5198063.html
13.4 Katha Plot Is Ready To Be Leased At Ashulia,50 Thousand,"Durgapur, Kathgora, Zirabo, Ashulia, Savar, Dhaka",,,13.4 Katha,Plot,For Rent,27 May 2021,https://www.bproperty.com//en/property/details-5260042.html
