title,price,location,room,bath,size,type,purpose,updated,link
"129400 Sq Ft Commercial Factory To Rent At Bayazid, Oxygen",25.88 Lakh,"Bayazid, Chattogram",,,"129,400 sqft",Factory,For Rent,2 January 2022,https://www.bproperty.com//en/property/details-5319425.html
Baipail Is Giving You A 1960 Sq Ft Commercial Factory For Rent,39.2 Thousand,"Baipail, Ashulia, Savar, Dhaka",,,"1,960 sqft",Factory,For Rent,29 December 2021,https://www.bproperty.com//en/property/details-5182200.html
"Wonderful Commercial Factory Of 5000 Sq Ft Is Available For Rent In Shardar Bari, Dakshin Khan",1 Lakh,"Shardar Bari, Dakshin Khan, Dhaka",,,"5,000 sqft",Factory,For Rent,7 July 2023,https://www.bproperty.com//en/property/details-5587337.html
12000 Sq Ft Factory Is For Rent At Savar,1.2 Lakh,"Ashulia, Savar, Dhaka",,,"12,000 sqft",Factory,For Rent,2 June 2021,https://www.bproperty.com//en/property/details-5265691.html
4200 Sq Ft Commercial Factory For Rent At Ashulia,32 Thousand,"Tongabari, Ashulia, Savar, Dhaka",,,"4,200 sqft",Factory,For Rent,23 April 2022,https://www.bproperty.com//en/property/details-5343260.html
"1960 Sq. ft Commercial Factory For Rent At Bogabari Bazar Road, Baipail.",39.2 Thousand,"Baipail, Ashulia, Savar, Dhaka",,,"1,960 sqft",Factory,For Rent,29 December 2021,https://www.bproperty.com//en/property/details-5182199.html
50000 Sq Ft Factory For Rent In Sagorika Bscic Industrial Area,10 Lakh,"Sagorika BSCIC Industrial Area, Chattogram",,,"50,000 sqft",Factory,For Rent,5 January 2023,https://www.bproperty.com//en/property/details-5545967.html
"At Bogabari Bazar Road, Baipail This 1960 Sq. ft Commercial Factory For Rent .",39.2 Thousand,"Baipail, Ashulia, Savar, Dhaka",,,"1,960 sqft",Factory,For Rent,29 December 2021,https://www.bproperty.com//en/property/details-5182201.html
A 10860 Sq Ft Factory For Rent In Tejgaon Industrial Area,6.52 Lakh,"Tejgaon, Dhaka",,,"10,860 sqft",Factory,For Rent,30 April 2023,https://www.bproperty.com//en/property/details-5566110.html
"1400 Square Feet Commercial Factory For Rent At Gaoyaira Madrasa Road, Dakshin Khan",20 Thousand,"Gawair, Dakshin Khan, Dhaka",,,"1,400 sqft",Factory,For Rent,7 March 2022,https://www.bproperty.com//en/property/details-5389351.html
"Best Location For Your Commercial Factory, This 2300 Sq Ft Business Space Is Ready To Rent At Middle Badda",1.38 Lakh,"Middle Badda, Badda, Dhaka",,,"2,300 sqft",Factory,For Rent,15 May 2023,https://www.bproperty.com//en/property/details-5571056.html
This 5000 Square Feet Commercial Factory For Rent At Shikaritola.,1.5 Lakh,"Gojmohal, Hazaribag, Dhaka",,,"5,000 sqft",Factory,For Rent,15 November 2021,https://www.bproperty.com//en/property/details-5407667.html
3000 Square Feet Commercial Factory For Rent In Baipail .,26 Thousand,"Baipail, Ashulia, Savar, Dhaka",,,"3,000 sqft",Factory,For Rent,25 January 2022,https://www.bproperty.com//en/property/details-4990723.html
Reside Conveniently In This Comfortable Factory For Rent Near By Polli Biddut Bazar Masjid At Dendabor .,40 Thousand,"Dendabor, Ashulia, Savar, Dhaka",,,"5,000 sqft",Factory,For Rent,28 July 2022,https://www.bproperty.com//en/property/details-4542918.html
"In The Suitable Location of Double Mooring, A factory of 2000 Sq Ft Is Up For Rent",1 Lakh,"Double Mooring, Chattogram",,,"2,000 sqft",Factory,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5075565.html
Visit This 9000 Sq Ft Factory Space For Rent In 9 No. North Pahartali Ward,1.8 Lakh,"9 No. North Pahartali Ward, Chattogram",,,"9,000 sqft",Factory,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5425567.html
5000 Sq Ft Commercial Space Is Ready For Rent At Savar,1 Lakh,"Ashulia, Savar, Dhaka",,,"5,000 sqft",Factory,For Rent,20 February 2023,https://www.bproperty.com//en/property/details-5265690.html
9000 Sq Ft Commercial Factory For Rent In 9 No. North Pahartali Ward,1.8 Lakh,"9 No. North Pahartali Ward, Chattogram",,,"9,000 sqft",Factory,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5425564.html
5500 Sq. ft Commercial Factory For Rent At Hazaribag Close To Sonatongor Masjid.,82.5 Thousand,"Hazaribag, Dhaka",,,"5,500 sqft",Factory,For Rent,11 June 2021,https://www.bproperty.com//en/property/details-5009319.html
"31000 Sq Ft A Fully Fitted Elegant Commercial Factory Is Available For Rent At Chanpara, Uttar Khan",4.35 Lakh,"Uttar Khan, Dhaka",,,"31,000 sqft",Factory,For Rent,8 August 2023,https://www.bproperty.com//en/property/details-5593811.html
"40500 Sq Ft Factory Is For Rent In Gazipur, Nabinagar",10.13 Lakh,Gazipur,,,"40,500 sqft",Factory,For Rent,14 September 2023,https://www.bproperty.com//en/property/details-5602052.html
