title,price,location,room,bath,size,type,purpose,updated,link
"Make This 6545 Sq Ft Rental Office Your Business Location, Which Is Located In Gulshan",9.82 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,15 September 2022,https://www.bproperty.com//en/property/details-5518288.html
"At Gulshan-1, 4600 Sq Ft Well Fitted Office Is Ready To Rent",8.28 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"4,600 sqft",Floor,For Rent,2 January 2022,https://www.bproperty.com//en/property/details-2034711.html
"A Structurally Well Set Commercial Space Of 2000 Sq Ft For Rent Is Available In Uttara Sector 14, Near Tarif Restaurant & Briyani House",4 Lakh,"Sector 14, Uttara, Dhaka",,,"2,000 sqft",Floor,For Rent,23 February 2022,https://www.bproperty.com//en/property/details-1780344.html
"A Commercial Space Is Available For Rent In Malibagh, Nearby Standard Bank Limited",2.1 Lakh,"Malibagh, Dhaka",,,"3,500 sqft",Floor,For Rent,10 January 2022,https://www.bproperty.com//en/property/details-1988759.html
"Use This 6545 Sq Ft Rental Property as Your Office, Located At Gulshan",9.82 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,15 September 2022,https://www.bproperty.com//en/property/details-5518290.html
3050 Sq Ft Commercial Floor For Rent In Uttara Sector 13 Near Gausul Azam Jame Masjid,3.05 Lakh,"Sector 13, Uttara, Dhaka",,,"3,050 sqft",Floor,For Rent,16 March 2023,https://www.bproperty.com//en/property/details-1908906.html
A 2400 Square Feet Modern And Large Commercial Floor For Rent At Panthapath,1 Lakh,"Panthapath, Kathalbagan, Dhaka",,,"2,400 sqft",Floor,For Rent,29 August 2021,https://www.bproperty.com//en/property/details-3846449.html
6545 Sq Ft Office Is Available To Rent in Gulshan,9.82 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,16 February 2023,https://www.bproperty.com//en/property/details-5518286.html
"Available For Rent In Mirpur Sec- 10, A 11000 Sq Ft Lucrative Office Space",3.85 Lakh,"Block D, Section 10, Mirpur, Dhaka",,,"11,000 sqft",Floor,For Rent,20 January 2021,https://www.bproperty.com//en/property/details-5068911.html
6545 Sq Ft Office Is Available To Rent in Gulshan 1,9.82 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,15 September 2022,https://www.bproperty.com//en/property/details-5518289.html
Take Rent This 6545 Sq Ft Ample Office In Gulshan 1,16.36 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,16 February 2023,https://www.bproperty.com//en/property/details-5518283.html
Deal With Your Business in 6545 Sq Ft Office with a Convenient price To Rent in Gulshan,9.82 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,19 February 2023,https://www.bproperty.com//en/property/details-5518287.html
Masterful And Very Ample Commercial Space Is Vacant For Rent In West Khulshi R/a Near To National Polytechnic College,90.72 Thousand,"West Khulshi R/A, 9 No. North Pahartali Ward, Chattogram",,,"2,160 sqft",Floor,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1988862.html
Commercial Space Is Available For Rent In Lal Khan Bazaar Nearby Bangladesh Elementary School,45 Thousand,"Lal Khan Bazaar, Chattogram",,,"1,650 sqft",Floor,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-1893994.html
"4835 SQ FT Ready Commercial Space For Rent In Gulshan 1, near Gulshan 1 DCC Market",7.25 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"4,835 sqft",Floor,For Rent,19 September 2021,https://www.bproperty.com//en/property/details-1876181.html
"Commercial Floor Is Available For Rent In Bosila, Mohammadpur",1.83 Lakh,"Bosila, Mohammadpur, Dhaka",,,"3,325 sqft",Floor,For Rent,22 February 2021,https://www.bproperty.com//en/property/details-5140487.html
This Admirable 3370 Sq Ft Commercial Space Is For Rent At Bosila With A Very Low Price.,2.36 Lakh,"Bosila, Mohammadpur, Dhaka",,,"3,370 sqft",Floor,For Rent,22 February 2021,https://www.bproperty.com//en/property/details-5140483.html
"10000 Square Feet Office Space For Rent In Tejgaon, Karwan Bazar",8 Lakh,"Karwan Bazar, Tejgaon, Dhaka",,,"10,000 sqft",Floor,For Rent,25 August 2021,https://www.bproperty.com//en/property/details-3822009.html
"For Your Well-done Business An Commercial Space Of 10,000 Sq Ft Is Ready For Rent In Uttara",5 Lakh,"Uttara, Dhaka",,,"10,000 sqft",Floor,For Rent,21 March 2023,https://www.bproperty.com//en/property/details-5561595.html
We Are Presenting This 4200 Sq Ft Commercial Floor For Rent Which Is Located In East Rampura,6.72 Lakh,"East Rampura, Rampura, Dhaka",,,"4,200 sqft",Floor,For Rent,22 March 2023,https://www.bproperty.com//en/property/details-5560836.html
1590 Sq Ft Luxurious Commercial Office Is Available To Rent At Lal Khan Bazaar,3.18 Lakh,"Lal Khan Bazaar, Chattogram",,,"1,590 sqft",Floor,For Rent,18 January 2021,https://www.bproperty.com//en/property/details-5056194.html
"3325 Sq Ft Commercial Space For Rent Is Available In Basilla Road, Mohammadpur",2.33 Lakh,"Bosila, Mohammadpur, Dhaka",,,"3,325 sqft",Floor,For Rent,22 February 2021,https://www.bproperty.com//en/property/details-5140484.html
"This Vacant Commercial Space Of 10,000 Sq Ft Situated In Uttara, Is Up For Rent",5 Lakh,"Uttara, Dhaka",,,"10,000 sqft",Floor,For Rent,21 March 2023,https://www.bproperty.com//en/property/details-5561598.html
Check This Commercial Floor In Mirpur 11 For Rent.,1.88 Lakh,"Block A, Section 11, Mirpur, Dhaka",,,"2,600 sqft",Floor,For Rent,25 January 2021,https://www.bproperty.com//en/property/details-5080465.html
Take a Look at This 6545 Sq Ft Office to Rent in Gulshan,9.82 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"6,545 sqft",Floor,For Rent,16 February 2023,https://www.bproperty.com//en/property/details-5518285.html
"This 10,000 Sq Ft Commercial Space Will Be A Great Option For You To Boost Up Your Business At Uttara",5 Lakh,"Uttara, Dhaka",,,"10,000 sqft",Floor,For Rent,21 March 2023,https://www.bproperty.com//en/property/details-5561592.html
2050 Sq Ft Commercial Space Is Available For Rent At East Kazipara,1.01 Crore,"West Kazipara, Mirpur, Dhaka",,,"2,050 sqft",Floor,For Rent,8 September 2022,https://www.bproperty.com//en/property/details-3425736.html
Set Up Your New Office In The Location Of Malibagh Nearby Jamuna Bank Limited Is Prepared To Be Rented.,2.4 Lakh,"Malibagh, Dhaka",,,"3,000 sqft",Floor,For Rent,28 January 2023,https://www.bproperty.com//en/property/details-1987129.html
Remarkable Commercial Space Is Up For Rent In Malibagh Nearby Jamuna Bank Limited,2.1 Lakh,"Malibagh, Dhaka",,,"3,000 sqft",Floor,For Rent,28 January 2023,https://www.bproperty.com//en/property/details-1987067.html
"2188 Sq Ft Commercial Space For Rent In The Classy Area Of Gulshan 2, Gulshan Avenue",12.03 Lakh,"Gulshan 2, Gulshan, Dhaka",,,"2,188 sqft",Floor,For Rent,24 April 2022,https://www.bproperty.com//en/property/details-5449713.html
"2700 Square Feet Commercial Floor Of Great Quality For Rent In Mirpur, Pallabi",1.1 Lakh,"Pallabi, Mirpur, Dhaka",,,"2,700 sqft",Floor,For Rent,28 March 2023,https://www.bproperty.com//en/property/details-5562433.html
Remarkable Open Floor Is Up For Rent In Badda.,67.38 Thousand,"Badda, Dhaka",,,"2,246 sqft",Floor,For Rent,14 January 2021,https://www.bproperty.com//en/property/details-5053574.html
A Very Well Fitted 10000 Sq Ft Business Space Is Up For Rent In Tejgaon Industrial Area,5 Lakh,"Tejgaon, Dhaka",,,"10,000 sqft",Floor,For Rent,24 August 2021,https://www.bproperty.com//en/property/details-5314676.html
"Grab This 1200 Sq Ft Commercial Floor In Mirpur-2, Up For Rent",1.8 Lakh,"Block Cha, Section 2, Mirpur, Dhaka",,,"1,200 sqft",Floor,For Rent,12 September 2023,https://www.bproperty.com//en/property/details-5601539.html
In Uttara This Office Is Up For Rent Which Is 8300 Sq Ft,8.99 Lakh,"Sector 7, Uttara, Dhaka",,,"8,300 sqft",Floor,For Rent,7 March 2023,https://www.bproperty.com//en/property/details-3854564.html
Lucrative 2246 Sq Ft Office Is For Rent In Middle Badda.,67.38 Thousand,"Badda, Dhaka",,,"2,246 sqft",Floor,For Rent,14 January 2021,https://www.bproperty.com//en/property/details-5053575.html
"Use This 3273 Sq Ft Rental Property as Your Office, Located at Gulshan",8.18 Lakh,"Gulshan 1, Gulshan, Dhaka",,,"3,273 sqft",Floor,For Rent,16 February 2023,https://www.bproperty.com//en/property/details-5518284.html
Commercial Space Is Available For Rent In Badda Nearby Al-arafah Islami Bank Limited,1.1 Lakh,"Badda, Dhaka",,,"2,200 sqft",Floor,For Rent,12 March 2023,https://www.bproperty.com//en/property/details-1887956.html
