title,price,location,room,bath,size,type,purpose,updated,link
"Checkout This 1225 Sq Ft Commercial Office For Rent In East Kazipara, Mirpur",40 Thousand,"East Kazipara, Mirpur, Dhaka",,,"1,225 sqft",Apartment,For Rent,17 August 2023,https://www.bproperty.com//en/property/details-4241321.html
"Make This 4000 Sq Ft Commercial Apartment Your Next Business Location, Which Is Up For Rent In Wari",4.8 Lakh,"Wari, Sutrapur, Dhaka",,,"4,000 sqft",Apartment,For Rent,18 August 2021,https://www.bproperty.com//en/property/details-3942052.html
"1275 Sq Ft Commercial Office Is For Rent In East Kazipara, Mirpur",45 Thousand,"East Kazipara, Mirpur, Dhaka",,,"1,275 sqft",Apartment,For Rent,17 August 2023,https://www.bproperty.com//en/property/details-5465138.html
"Near Grameen Bus Stop, In Gulshan 2 The Elite Commercial Apartment Is Available For Rent",1.83 Lakh,"Gulshan 2, Gulshan, Dhaka",,,"4,000 sqft",Apartment,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1933406.html
1700 Square Feet Spacious Commercial Apartment For Rent At Begum Rokeya Soroni-mirpur .,45 Thousand,"West Kazipara, Mirpur, Dhaka",,,"1,700 sqft",Apartment,For Rent,12 April 2023,https://www.bproperty.com//en/property/details-5249193.html
This 2000 Sq Ft Commercial Space For Rent In Bagmoniram Close To United Commercial Bank Limited,80 Thousand,"Dampara, 15 No. Bagmoniram Ward, Chattogram",,,"2,000 sqft",Apartment,For Rent,8 February 2023,https://www.bproperty.com//en/property/details-2068078.html
1800 Sq Ft Commercial Area Is Ready For Rent At Halishahar Housing Estate,70 Thousand,"Block L, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",,,"1,800 sqft",Apartment,For Rent,6 November 2021,https://www.bproperty.com//en/property/details-5329330.html
"For Your Well-done Business An Office Of 12,000 Sq Ft Is Ready For Rent In Sector 6, Uttara",4.5 Lakh,"Sector 6, Uttara, Dhaka",,,"12,000 sqft",Apartment,For Rent,24 September 2023,https://www.bproperty.com//en/property/details-4766011.html
Fully Fitted Commercial Office Space Of 1700 Sq Ft Is Ready To Rent In Uttara.,20 Thousand,Dhaka,,,"1,700 sqft",Apartment,For Rent,21 March 2023,https://www.bproperty.com//en/property/details-5562029.html
1600 Sq Ft Commercial Space Is Now For Rent Which Is In Bagmoniram Near To Shahid Zia Shishu Park,36 Thousand,"15 No. Bagmoniram Ward, Chattogram",,,"1,600 sqft",Apartment,For Rent,30 April 2023,https://www.bproperty.com//en/property/details-1779427.html
A Commercial Space Is Available For Rent In Halishahar Nearby Monsur Market Mosque,1.7 Lakh,"Halishahar, Chattogram",,,"2,600 sqft",Apartment,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1974731.html
