title,price,location,room,bath,size,type,purpose,updated,link
"Best Location For Your Office, This 4600 Sq Ft Furnished Business Space Is Ready To Rent At Hatir Jheel Link Road, Tejgaon",7.36 Lakh,"Tejgaon, Dhaka",,,"4,600 sqft",Office,For Rent,19 March 2023,https://www.bproperty.com//en/property/details-4597565.html
"Use This 4975 Sq Ft Rental Property As Your Office, Located At Bakalia Nearby Bakalia High School",66 Thousand,"17 No West Bakalia Ward, Bakalia, Chattogram",,,"4,975 sqft",Office,For Rent,23 March 2023,https://www.bproperty.com//en/property/details-2014689.html
6700 Sq Ft Commercial Office Is Ready For Rent At East Nasirabad,4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,15 February 2021,https://www.bproperty.com//en/property/details-4287221.html
A 2770 Square Feet Office Space Ready For Rent At Kazi Nazrul Islam Avenue,4.16 Lakh,"Banglamotors, Dhaka",,,"2,770 sqft",Office,For Rent,1 September 2021,https://www.bproperty.com//en/property/details-5338464.html
1150 Sq Ft Commercial Office Is Available For Rent In Kalabagan,1.15 Lakh,"Kalabagan, Dhaka",,,"1,150 sqft",Office,For Rent,19 March 2023,https://www.bproperty.com//en/property/details-5560861.html
"1530 Square Feet Office Space Is For Rent In West Agargaon, Sher- E- Banglanagar",30 Thousand,"Janata Housing, Sher- E- Banglanagar, West Agargaon, Agargaon, Dhaka",,,"1,530 sqft",Office,For Rent,23 March 2023,https://www.bproperty.com//en/property/details-4128635.html
Commercial Office For Rent In Nikunja 2 Near Lotus Kamal Tower,90 Thousand,"Nikunja 2, Nikunja, Dhaka",,,"1,500 sqft",Office,For Rent,18 February 2022,https://www.bproperty.com//en/property/details-1859643.html
A 4000 SQ FT Large Commercial Office At Tejgaon Industrial Area For Rent,3 Lakh,"Tejgaon, Dhaka",,,"4,000 sqft",Office,For Rent,9 September 2021,https://www.bproperty.com//en/property/details-5330974.html
Use This 15200 Sq Ft Rental Property As Your Office Located At Agrabad Commercial Area,6.84 Lakh,"South Agrabad, Double Mooring, Chattogram",,,"15,200 sqft",Office,For Rent,30 July 2020,https://www.bproperty.com//en/property/details-2040072.html
Commercial Office For Rent Near Lotus Kamal Tower,90 Thousand,"Nikunja 2, Nikunja, Dhaka",,,"1,000 sqft",Office,For Rent,18 February 2022,https://www.bproperty.com//en/property/details-1859598.html
At Tejgaon Industrial Area A Large And Spacious 7000 Sq. Ft Commercial Office For Rent,5.25 Lakh,"Tejgaon, Dhaka",,,"7,000 sqft",Office,For Rent,9 September 2021,https://www.bproperty.com//en/property/details-5330977.html
6700 Sq Ft Commercial Office Is Ready For Rent At East Nasirabad,4 Lakh,"East Nasirabad, Chattogram",,,"6,700 sqft",Office,For Rent,16 February 2021,https://www.bproperty.com//en/property/details-4287381.html
Wonderful Commercial Space Of 3273 Sq Ft Is Available For Rent In Mohakhali,3.27 Lakh,"Mohakhali, Dhaka",,,"3,273 sqft",Office,For Rent,22 March 2023,https://www.bproperty.com//en/property/details-3471081.html
View This 3345 Sq Ft Commercial Arena For Rent At South Agrabad,1.34 Lakh,"South Agrabad, Double Mooring, Chattogram",,,"3,345 sqft",Office,For Rent,16 February 2021,https://www.bproperty.com//en/property/details-4838645.html
