title,price,location,room,bath,size,type,purpose,updated,link
Live In This 1200 Sq Ft Full-furnished Flat For Rent In Uttara-14,1 Lakh,"Sector 14, Uttara, Dhaka",2 Beds,2 Baths,"1,200 sqft",Apartment,For Rent,10 May 2022,https://www.bproperty.com//en/property/details-5467950.html
An Apartment Of 700 Sq. ft Is Up To Rent In Khilkhet Near Haji Bari Mosjid.,12 Thousand,"Khilkhet, Dhaka",2 Beds,2 Baths,700 sqft,Apartment,For Rent,29 September 2023,https://www.bproperty.com//en/property/details-2010523.html
2350 Sq Ft Road Sided Furnished Apartment For Rent In Gulshan,1.6 Lakh,"Gulshan 1, Gulshan, Dhaka",3 Beds,3 Baths,"2,350 sqft",Apartment,For Rent,25 August 2022,https://www.bproperty.com//en/property/details-3582172.html
"A 1580 Sq. ft Apartment Ready To Rent South Khulshi, Nearby Women College.",25 Thousand,"South Khulshi, Khulshi, Chattogram",3 Beds,3 Baths,"1,580 sqft",Apartment,For Rent,25 January 2022,https://www.bproperty.com//en/property/details-1978922.html
"An Apartment Is For Rent At Banani, Near Banani Club",40 Thousand,"Banani, Dhaka",3 Beds,3 Baths,"2,100 sqft",Apartment,For Rent,24 September 2023,https://www.bproperty.com//en/property/details-2002007.html
Properly Defined Residential Property Of 1485 Sq Ft Is Now Up For Rent In Baridhara Dohs,35 Thousand,"Baridhara DOHS, Dhaka",3 Beds,3 Baths,"1,485 sqft",Apartment,For Rent,26 September 2023,https://www.bproperty.com//en/property/details-5182642.html
Meet With A Fascinating 1450 Sq Ft Ready Flat For Rent In South Khulsi Near To Bar Awlia Jame Masjid,23 Thousand,"Khulshi, Chattogram",3 Beds,3 Baths,"1,450 sqft",Apartment,For Rent,6 March 2020,https://www.bproperty.com//en/property/details-1764964.html
A Well-constructed 2000 Sq Ft Apartment Is Ready To Rent In Banani,50 Thousand,"Banani, Dhaka",3 Beds,4 Baths,"2,000 sqft",Apartment,For Rent,25 September 2023,https://www.bproperty.com//en/property/details-2035917.html
2000 Sq Ft Amazing Flat For Rent In Bashundhara R/A,50 Thousand,"Block D, Bashundhara R-A, Dhaka",3 Beds,3 Baths,"2,000 sqft",Apartment,For Rent,7 May 2023,https://www.bproperty.com//en/property/details-5467220.html
A 3500 Sq Ft Apartment Is Waiting For Rent At Baridhara Nearby High Commission Of Malaysia,2.7 Lakh,"Block K, Baridhara, Dhaka",4 Beds,4 Baths,"3,500 sqft",Apartment,For Rent,30 March 2023,https://www.bproperty.com//en/property/details-1870642.html
