title,price,location,room,bath,size,type,purpose,updated,link
334 Sq Ft Commercial Shop For Rent In Dhanmondi,40 Thousand,"Dhanmondi, Dhaka",,,334 sqft,Shop,For Rent,23 February 2021,https://www.bproperty.com//en/property/details-4979936.html
"A 1200 Sq Ft Commercial Shop Is Up For Rent In A Well Secured Location Of Outer Circular Road, Maghbazar",2 Lakh,"Maghbazar, Dhaka",,,"1,200 sqft",Shop,For Rent,20 August 2023,https://www.bproperty.com//en/property/details-5223827.html
"Grab This 1250 Square Feet Commercial Shop Up For Rent In Mohammadpur, Tajmahal Road",1.3 Lakh,"Tajmahal Road, Mohammadpur, Dhaka",,,"1,250 sqft",Shop,For Rent,27 August 2023,https://www.bproperty.com//en/property/details-3981236.html
"Take A Look At This 80 Sq Ft Commercial Shop Which Is Up For Rent In Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,17 September 2023,https://www.bproperty.com//en/property/details-5581688.html
300 Sq Ft Commercial Shop Is Up For Rent In Kachukhet Road,28 Thousand,"Kachukhet, Dhaka",,,300 sqft,Shop,For Rent,17 August 2023,https://www.bproperty.com//en/property/details-5595635.html
"Encounter A Great Commercial Setup In This 147 Sq Ft Shop Area For Rent, In 9 No. North Pahartali Ward",13 Thousand,"Noapara, 9 No. North Pahartali Ward, Chattogram",,,147 sqft,Shop,For Rent,3 September 2023,https://www.bproperty.com//en/property/details-5391387.html
"Have A Look At This 80 Sq Ft Commercial Shop Which Is Up For Rent Located At Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,17 September 2023,https://www.bproperty.com//en/property/details-5563716.html
"Available For Rental Purpose, This 80 Sq Ft Commercial Shop In Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,17 September 2023,https://www.bproperty.com//en/property/details-5581689.html
"A 80 Sq Ft Commercial Shop Is Up For Rent In A Well Secured Location Of Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,18 September 2023,https://www.bproperty.com//en/property/details-5581690.html
Invest In This 220 Sq Ft Shop Area For Rent In 7 No. West Sholoshohor Ward,16 Thousand,"7 No. West Sholoshohor Ward, Chattogram",,,220 sqft,Shop,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5518096.html
This Shop Is Up For Rent In Mirpur Near To Heed International School,65 Thousand,"Block A, Section 11, Mirpur, Dhaka",,,"1,350 sqft",Shop,For Rent,18 December 2022,https://www.bproperty.com//en/property/details-1872617.html
Expand Your Business Renting This 220 Sq Ft Shop In 7 No. West Sholoshohor Ward,16 Thousand,"7 No. West Sholoshohor Ward, Chattogram",,,220 sqft,Shop,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5518095.html
A Desirable Shop Area Of 220 Sq Ft Is For Rent In 7 No. West Sholoshohor Ward,16 Thousand,"7 No. West Sholoshohor Ward, Chattogram",,,220 sqft,Shop,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5518091.html
250 Sq Ft Shop Is Available To Rent In 7 No. West Sholoshohor Ward,16 Thousand,"7 No. West Sholoshohor Ward, Chattogram",,,250 sqft,Shop,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5518089.html
"For Your Well-done Business A Commercial Shop Of 1000 Sq Ft Is Ready For Rent In Luxmibazar, Sutrapur",1.3 Lakh,"Luxmibazar, Sutrapur, Dhaka",,,"1,000 sqft",Shop,For Rent,30 March 2023,https://www.bproperty.com//en/property/details-5418199.html
220 Sq Ft Shop Area For Rent In 7 No. West Sholoshohor Ward,16 Thousand,"7 No. West Sholoshohor Ward, Chattogram",,,220 sqft,Shop,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5518097.html
Take A Look At This 220 Sq Ft Shop For Rent In 7 No. West Sholoshohor Ward,16 Thousand,"7 No. West Sholoshohor Ward, Chattogram",,,220 sqft,Shop,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5518094.html
"500 Square Feet Commercial Shop For Rent At Sector 15, Uttara",50 Thousand,"Sector 15, Uttara, Dhaka",,,500 sqft,Shop,For Rent,25 July 2023,https://www.bproperty.com//en/property/details-5385576.html
"Start Your Business In This 80 Sq Ft Commercial Shop For Rent, In Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,15 July 2023,https://www.bproperty.com//en/property/details-5581687.html
"Upgrade Your Business Quality By Renting This 266 Sq Ft Shop Space In Adabor, Janata Housing Society",25 Thousand,"Janata Housing Society, Adabor, Dhaka",,,266 sqft,Shop,For Rent,2 January 2022,https://www.bproperty.com//en/property/details-4948892.html
A Shop Of 125 Sq Ft With All Kind Of Facilities Is Available To Rent In In Adabor,15 Thousand,"Janata Housing Society, Adabor, Dhaka",,,125 sqft,Shop,For Rent,2 January 2022,https://www.bproperty.com//en/property/details-4948890.html
"125 Sq Ft Shop Arena With All The Secured Commercial Approaches Is Up For Rent In Adabor, Janata Housing Society",15 Thousand,"Janata Housing Society, Adabor, Dhaka",,,125 sqft,Shop,For Rent,31 December 2021,https://www.bproperty.com//en/property/details-4948879.html
"125 Square Feet Commercial Shop For Rent In Adabor, Janata Housing Society",15 Thousand,"Janata Housing Society, Adabor, Dhaka",,,125 sqft,Shop,For Rent,2 January 2022,https://www.bproperty.com//en/property/details-4948891.html
"Expand Your Business Propositions Through This 105 Sq Ft Shop, Available For Rent In 9 No. North Pahartali Ward",10 Thousand,"9 No. North Pahartali Ward, Chattogram",,,105 sqft,Shop,For Rent,6 July 2022,https://www.bproperty.com//en/property/details-5425551.html
110 Sq Ft Tasteful Shop For Rent In 9 No. North Pahartali Ward,10 Thousand,"9 No. North Pahartali Ward, Chattogram",,,110 sqft,Shop,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5425552.html
"Evaluate The Efficiency Of This 700 Sq Ft Shop Space By Renting It In 2 No. Jalalabad Ward, Bayazid",30 Thousand,"2 No. Jalalabad Ward, Bayazid, Chattogram",,,700 sqft,Shop,For Rent,29 January 2022,https://www.bproperty.com//en/property/details-5435452.html
"A 750 Sq Ft Shop Arena Is Ready To Increase The Productivity Of Your Business In Bayazid, 2 No. Jalalabad Ward",30 Thousand,"2 No. Jalalabad Ward, Bayazid, Chattogram",,,750 sqft,Shop,For Rent,29 January 2022,https://www.bproperty.com//en/property/details-5435453.html
"127 Square Feet Commercial Shop For Rent At Noapara, 9 No. North Pahartali Ward",13 Thousand,"Noapara, 9 No. North Pahartali Ward, Chattogram",,,127 sqft,Shop,For Rent,4 July 2022,https://www.bproperty.com//en/property/details-5391386.html
700 Sq Ft Shop With Quality Business Approaches For Rent At Bayazid,25 Thousand,"2 No. Jalalabad Ward, Bayazid, Chattogram",,,700 sqft,Shop,For Rent,29 January 2022,https://www.bproperty.com//en/property/details-5435450.html
"At Motijheel Near To Purana Paltan College, A 1000 Sq. Ft Shop Is To Rent",1.5 Lakh,"Motijheel, Dhaka",,,"1,000 sqft",Shop,For Rent,20 March 2023,https://www.bproperty.com//en/property/details-5296014.html
"Expand Your Business Potentials Through This 110 Sq Ft Shop, Up For Rent In 9 No. North Pahartali Ward",10 Thousand,"9 No. North Pahartali Ward, Chattogram",,,110 sqft,Shop,For Rent,3 May 2023,https://www.bproperty.com//en/property/details-5425547.html
"80 Sq Ft Commercial Shop Waiting To Be Rented In Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5581673.html
"Start Your Business In This 80 Sq Ft Commercial Shop Rent In Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5581674.html
Take a Look at This 500 Sq Ft shop to Rent in Gulshan Near To EBL ATM,2 Lakh,"Gulshan 2, Gulshan, Dhaka",,,500 sqft,Shop,For Rent,26 January 2022,https://www.bproperty.com//en/property/details-2000372.html
This Shop Is Up For Rent In Mohammadpur Near Dutch-bangla Bank Limited (dbbl),70 Thousand,"Mohammadpur, Dhaka",,,900 sqft,Shop,For Rent,9 July 2023,https://www.bproperty.com//en/property/details-1904109.html
"153 Sq Ft Shop Space Is Up For Rent In Matikata, Cantonment.",7 Thousand,"Matikata, Cantonment, Dhaka",,,153 sqft,Shop,For Rent,7 July 2023,https://www.bproperty.com//en/property/details-5587122.html
"Invest In This 1100 Sq Ft Shop For Rent At New Market, New Elephant Road",1.5 Lakh,"New Market, Dhaka",,,"1,100 sqft",Shop,For Rent,7 June 2023,https://www.bproperty.com//en/property/details-5307588.html
"556 Sq Ft Commercial Shop For Rent In Shiddheswari, New Baily Road",1.56 Lakh,"Shiddheswari, Dhaka",,,556 sqft,Shop,For Rent,17 August 2023,https://www.bproperty.com//en/property/details-5404703.html
Visit This 950 Sq. Ft. Shop For Rent In Mirpur Nearby Dutch-bangla Bank Limited | Atm Booth,50 Thousand,"Block E, Section 12, Mirpur, Dhaka",,,950 sqft,Shop,For Rent,10 July 2023,https://www.bproperty.com//en/property/details-2079183.html
"Build Your Business Potentials Through This 110 Sq Ft Shop, Available For Rent In 9 No. North Pahartali Ward",10.5 Thousand,"9 No. North Pahartali Ward, Chattogram",,,110 sqft,Shop,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5425550.html
"600 Sq Ft Commercial Space Is Up For Rent In Mohammadpur, Tajmahal Road",50 Thousand,"Tajmahal Road, Mohammadpur, Dhaka",,,600 sqft,Shop,For Rent,15 January 2023,https://www.bproperty.com//en/property/details-5545262.html
"Verify This 150 Sq Ft Shop Arena Up For Rent In Mohammadpur, Tajmahal Road",16 Thousand,"Tajmahal Road, Mohammadpur, Dhaka",,,150 sqft,Shop,For Rent,9 March 2023,https://www.bproperty.com//en/property/details-5098510.html
"40 Sq Ft Commercial Shop For Rent In Aturar Depo, Bayazid",10 Thousand,"Bayazid, Chattogram",,,40 sqft,Shop,For Rent,5 January 2022,https://www.bproperty.com//en/property/details-5432340.html
115 Sq Ft Fine Shop For Rent In 9 No. North Pahartali Ward,10 Thousand,"9 No. North Pahartali Ward, Chattogram",,,115 sqft,Shop,For Rent,30 November 2022,https://www.bproperty.com//en/property/details-5425553.html
"Offering You A 80 Sq Ft Nice Commercial Shop Rent In Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,18 June 2023,https://www.bproperty.com//en/property/details-5581681.html
"Increase Your Business Facilities Through This 105 Sq Ft Shop, Up For Rent In 9 No. North Pahartali Ward",10 Thousand,"9 No. North Pahartali Ward, Chattogram",,,105 sqft,Shop,For Rent,26 April 2023,https://www.bproperty.com//en/property/details-5425546.html
1600 Square Ft. Large Commercial Shop For Rent At Mirpur 2 - Block D .,1.5 Lakh,"Block D, Section 2, Mirpur, Dhaka",,,"1,600 sqft",Shop,For Rent,30 May 2023,https://www.bproperty.com//en/property/details-3667006.html
"660 Sq Ft Commercial Shop Waiting To Be Rented In Sector 5, Uttara",70 Thousand,"Sector 5, Uttara, Dhaka",,,660 sqft,Shop,For Rent,20 June 2023,https://www.bproperty.com//en/property/details-4762554.html
"200 Sq Ft Commercial Shop Is Ready For Rent In Lalmatia, Block D",60 Thousand,"Lalmatia, Dhaka",,,200 sqft,Shop,For Rent,2 March 2023,https://www.bproperty.com//en/property/details-5551608.html
"We Are Happy To Presents This 1200 Sq Ft Fitted Commercial Shop Located In Mirpur, Section 12",1 Lakh,"Block E, Section 12, Mirpur, Dhaka",,,"1,200 sqft",Shop,For Rent,6 July 2023,https://www.bproperty.com//en/property/details-5584729.html
"Deal With Your Business In A 80 Sq Ft Commercial Shop With A Convenient Rent Located At Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,18 June 2023,https://www.bproperty.com//en/property/details-5581678.html
"We Are Presenting This 600 Sq Ft Commercial Shop For Rent Which Is Located In Section 12, Mirpur",50 Thousand,"Block E, Section 12, Mirpur, Dhaka",,,600 sqft,Shop,For Rent,6 July 2023,https://www.bproperty.com//en/property/details-5584728.html
"Grab This 1300 Sq Ft Commercial Shop Up For Rent In Mohammadpur, Rajia Sultana Road",50 Thousand,"Mohammadpur, Dhaka",,,"1,300 sqft",Shop,For Rent,25 June 2023,https://www.bproperty.com//en/property/details-4197838.html
"Grab This 80 Sq Ft Commercial Area Ready To Rent In Mirpur-12, Block A",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5581670.html
80 Sq Ft Fine Commercial Shop Is Ready To Rent In Mirpur-12,10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5581669.html
View This 80 Sq Ft Commercial Shop Ready To Rent In Mirpur-12,10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5581671.html
Spend Less And Get More! Acquire This 3000 Sq. Ft. Exclusive Shop Space Up For Rent In Pallabi Near To M. d. c. Model Institute,2.5 Lakh,"Pallabi, Mirpur, Dhaka",,,"3,000 sqft",Shop,For Rent,16 August 2023,https://www.bproperty.com//en/property/details-1804027.html
Reasonable 550 SQ FT shop is available for Rent in Sutrapur near to Sutrapur Thana,30 Thousand,"Sutrapur, Dhaka",,,550 sqft,Shop,For Rent,22 November 2022,https://www.bproperty.com//en/property/details-1819588.html
1000 Sq. Ft. Ample Commercial Space Is Available For Rent In Shiddheswari Nearby Shiddeshwari Girls' High School,75 Thousand,"Shiddheswari, Dhaka",,,"1,000 sqft",Shop,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-1823311.html
"View This 200 Sq Ft Commercial Shop Area For Rent In Mohammadpur, Ring Road",70 Thousand,"Mohammadpur, Dhaka",,,200 sqft,Shop,For Rent,22 December 2022,https://www.bproperty.com//en/property/details-4011824.html
A 2000 Square Feet Commercial Shop For Rent At 4 No East Sholoshohor Ward,2 Lakh,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",,,"2,000 sqft",Shop,For Rent,15 June 2023,https://www.bproperty.com//en/property/details-5284581.html
Invest In This 120 Sq Ft Commercial Shop Ready To Rent In Mirpur-6,8 Thousand,"Block B, Section 6, Mirpur, Dhaka",,,120 sqft,Shop,For Rent,20 July 2023,https://www.bproperty.com//en/property/details-4958656.html
80 Sq Ft Commercial Shop Is Ready To Rent In Mirpur-12,10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5581672.html
"Deal With Your Business In A 80 Sq Ft Commercial Shop With A Convenient Rent Located At Section 12, Mirpur",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5581675.html
"This Vacant Commercial Shop Of 80 Sq Ft Situated In Section 12, Mirpur Is Up For Rent",10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5581676.html
Set Up Your New Shop In The Busiest Location Of Mirpur As A 3000 Sq. Ft. Space Is Prepared To Be Rented.,2.5 Lakh,"Pallabi, Mirpur, Dhaka",,,"3,000 sqft",Shop,For Rent,16 August 2023,https://www.bproperty.com//en/property/details-1804032.html
"Build Your Business Credentials Through This 120 Sq Ft Shop, Available For Rent In 9 No. North Pahartali Ward",10 Thousand,"9 No. North Pahartali Ward, Chattogram",,,120 sqft,Shop,For Rent,1 March 2023,https://www.bproperty.com//en/property/details-5425549.html
850 Sq Ft Ready Commercial Shop Space Is To Rent At Bayazid Next To Moshjid-A-Al Monsur.,34 Thousand,"Bayazid, Chattogram",,,850 sqft,Shop,For Rent,5 January 2022,https://www.bproperty.com//en/property/details-5432343.html
"This Vacant Commercial Shop Of 200 Sq Ft Situated In Mirpur 10, Is Up For Rent",30 Thousand,"Senpara Parbata, Section 10, Mirpur, Dhaka",,,200 sqft,Shop,For Rent,25 June 2023,https://www.bproperty.com//en/property/details-4346458.html
Take A Look At This 80 Sq Ft Commercial Shop Ready To Rent In Mirpur-12,10 Thousand,"Block A, Section 12, Mirpur, Dhaka",,,80 sqft,Shop,For Rent,11 June 2023,https://www.bproperty.com//en/property/details-5581668.html
"80 Sq Ft Commercial Shop Waiting To Be Rented In DIT Road, Malibagh",10 Thousand,"Malibagh, Dhaka",,,80 sqft,Shop,For Rent,6 July 2023,https://www.bproperty.com//en/property/details-4083301.html
Take A Look At This 70 Sq Ft Shop To Rent In New Market,18 Thousand,"New Market, Dhaka",,,70 sqft,Shop,For Rent,29 January 2023,https://www.bproperty.com//en/property/details-4176943.html
180 Sq Ft Ready Shop To Rent In Jamal Khan,20 Thousand,"Jamal Khan, Chattogram",,,180 sqft,Shop,For Rent,15 May 2023,https://www.bproperty.com//en/property/details-5573881.html
"400 Sq Ft Shop For Rent In A Classy Place Like Banani, Kemal Ataturk Avenue",60 Thousand,"Banani, Dhaka",,,400 sqft,Shop,For Rent,23 October 2021,https://www.bproperty.com//en/property/details-4989547.html
250 Sq Ft Shop Is Available To Rent In Gulshan,2.5 Lakh,"Gulshan 1, Gulshan, Dhaka",,,250 sqft,Shop,For Rent,5 December 2022,https://www.bproperty.com//en/property/details-5537643.html
15 No. Bagmoniram Ward Is Offering You This 320 Sq Ft Shop Space For Rent,75 Thousand,"15 No. Bagmoniram Ward, Chattogram",,,320 sqft,Shop,For Rent,15 March 2023,https://www.bproperty.com//en/property/details-5007678.html
"Rent This Commercial Shop Of 147 Sq Ft In A Lucrative Place Of Pahartali Ward, To Gain A Raise In Your Business",12 Thousand,"Noapara, 9 No. North Pahartali Ward, Chattogram",,,147 sqft,Shop,For Rent,16 May 2023,https://www.bproperty.com//en/property/details-5391407.html
250 Sq Ft Shop Is Available To Rent In Mohammadpur,18 Thousand,"Tajmahal Road, Mohammadpur, Dhaka",,,250 sqft,Shop,For Rent,7 March 2023,https://www.bproperty.com//en/property/details-3834064.html
Grow Your Business In This Shop Area Of 65 Sq Ft In A Prosperous Area Like Dhanmondi,50 Thousand,"Dhanmondi, Dhaka",,,65 sqft,Shop,For Rent,26 October 2021,https://www.bproperty.com//en/property/details-5379307.html
"A Nice Shop Of 170 Sq Ft Is Up For Rent At New Elephant Road, Newmarket",55 Thousand,"New Market, Dhaka",,,170 sqft,Shop,For Rent,18 September 2021,https://www.bproperty.com//en/property/details-3939646.html
"A 60 Sq Ft Business Space Is Up For Rent In The Most Convenient Location Of Shukrabad, Dhanmondi",50 Thousand,"Dhanmondi, Dhaka",,,60 sqft,Shop,For Rent,26 October 2021,https://www.bproperty.com//en/property/details-4400286.html
"A Standard Shop Of 200 Sq Ft Is For Rent In Banani, Kemal Ataturk Avenue",60 Thousand,"Banani, Dhaka",,,200 sqft,Shop,For Rent,7 February 2023,https://www.bproperty.com//en/property/details-4989538.html
"This 100 Sq Ft Shop, Up For Rent In 9 No. North Pahartali Ward",10 Thousand,"9 No. North Pahartali Ward, Chattogram",,,100 sqft,Shop,For Rent,13 June 2023,https://www.bproperty.com//en/property/details-5425544.html
150 Sq Ft Commercial space Is Ready For Rent In Mohammadpur,22 Thousand,"Mohammadpur, Dhaka",,,150 sqft,Shop,For Rent,12 May 2022,https://www.bproperty.com//en/property/details-5489714.html
902 Sq Ft Commercial Shop Waiting To Be Rented In Mirpur DOHS,50 Thousand,"Mirpur DOHS, Mirpur, Dhaka",,,902 sqft,Shop,For Rent,24 May 2023,https://www.bproperty.com//en/property/details-4814624.html
