title,price,location,room,bath,size,type,purpose,updated,link
We Are Happy To Present This 1250 Sq Ft Commercial Warehouse Located In Nikunja For Rent,25 Thousand,"Nikunja 1, Nikunja, Dhaka",,,"1,250 sqft",Warehouse,For Rent,15 June 2023,https://www.bproperty.com//en/property/details-3064464.html
A 2500 Square Feet Large Commercial Warehouse For Rent At 7 No. West Sholoshohor Ward .,1.25 Lakh,"7 No. West Sholoshohor Ward, Chattogram",,,"2,500 sqft",Warehouse,For Rent,7 November 2021,https://www.bproperty.com//en/property/details-5367363.html
"A Quality Warehouse For Rent At Elephant Road, Newmarket",10 Thousand,"New Market, Dhaka",,,150 sqft,Warehouse,For Rent,29 May 2023,https://www.bproperty.com//en/property/details-5501174.html
Use This 2500 Sq Ft Rental Property As Your Warehouse Located At 7 No. West Sholoshohor Ward,1.25 Lakh,"7 No. West Sholoshohor Ward, Chattogram",,,"2,500 sqft",Warehouse,For Rent,7 November 2021,https://www.bproperty.com//en/property/details-5367362.html
"Take A Look At This 600 Squarefeet commercial warehouse Space For Rent In Probal Housing, Mohammadpur",12 Thousand,"Ring Road, Mohammadpur, Dhaka",,,600 sqft,Warehouse,For Rent,7 October 2022,https://www.bproperty.com//en/property/details-4975836.html
"Check This Readily Available 51000 Sq Ft Lucrative Commercial Warehouse Up For Rent In Polytechnic Road, Bayazid",15 Lakh,"Bayazid, Chattogram",,,"51,000 sqft",Warehouse,For Rent,6 July 2023,https://www.bproperty.com//en/property/details-5575152.html
Readily Available A Nice 1200 Sq Ft Commercial Warehouse For Rent At Sutrapur,45 Thousand,"Tikatuli, Sutrapur, Dhaka",,,"1,200 sqft",Warehouse,For Rent,2 May 2023,https://www.bproperty.com//en/property/details-5567153.html
"1500 Sq Ft Commercial Warehouse With Great Facilities Is For Rent At Bayazid, Textile Gate",25 Thousand,"Bayazid, Chattogram",,,"1,500 sqft",Warehouse,For Rent,26 May 2023,https://www.bproperty.com//en/property/details-5575774.html
"A Very Well Fitted 32000 Sq Ft Commercial Warehouse Is Up For Rent In Sagorika Road, 10 No. North Kattali Ward",8.64 Lakh,"10 No. North Kattali Ward, Chattogram",,,"32,000 sqft",Warehouse,For Rent,4 June 2023,https://www.bproperty.com//en/property/details-5550172.html
7500 Square Feet Huge Warehouse Area Is For Rent In Uttara-14,11.25 Lakh,"Sector 14, Uttara, Dhaka",,,"7,500 sqft",Warehouse,For Rent,20 November 2022,https://www.bproperty.com//en/property/details-5529693.html
